id,server,except_server,activityId,activityGroup,activityExclude,,isopen,area,acType,seType,startTimeType,startTime,endTime,appearTime,disappearTime,effectiveTime,levelVis,vipVis,conditionVis,conditionNum,serverLimit,playerLimit,reissue,plate,channelType,channel,integral,,,,,,,,,,
int,int,int,int,int,int,,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,,,,,,,,,,
server,server,server,server,server,server,design,server,server,server,server,server,server,server,server,server,server,server,server,server,server,server,server,server,server,server,server,server,,,,,,,,,,
索引ID,区服范围,剔除区服范围,活动ID,活动组绑定,"该列填写activityopen的id，
填写后，在当前活动开启期间，
该列填的活动id对应循环活动不开启",策划备注,活动是否开启,活动所在区域,活动模板类型,活动模板类型,活动开启时间形式,开启时间,结束时间,展示时间,消失时间,生效时间,等级可见,VIP可见,特殊条件可见,特殊条件值,开服时间限制,创角时间限制,补发奖励,显示平台,渠道模式,渠道号,积分注水开关,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,读取publicCheat，1表示开启，0和无表示不开启,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"[[1,9999999999]]",,2000,,,Sự kiện đua top nạp server,1,1,200,200,2,0,41,0,41,,10,0,,,0,0,1,0,,,,,,,,,,,,,
2001,"[[1,9999999999]]",,2001,,,Sự kiện đua top lực chiến server,1,1,201,201,2,0,161,0,161,,10,0,,,0,0,1,0,,,,,,,,,,,,,
3,"[[1,9999999999]]",,5002,,,Nạp đầu Triệu Vân,1,1,107,107,3,0,999999999,0,999999999,,6,0,,,0,0,1,0,,,,,,,,,,,,,
4,"[[1,9999999999]]",,5003,,,固态触发礼包 - Gói Kích Hoạt Cố Định,1,1,105,105,2,0,999999999,0,999999999,,10,0,,,0,0,1,0,,,,,,,,,,,,,
6,"[[1,9999999999]]",,5004,,,动态触发礼包3倍2 - Gói Kích Hoạt Động 3x2,1,1,105,105,2,144,168,144,168,,10,0,,,0,0,2,0,,,,,,,,,,,,,
16,"[[1,9999999999]]",,1,,,体力 - Thể Lực,1,2,7,2,1,2019/2/13  17/33/00,2099/2/13  17/33/00,2019/2/13  17/33/00,2099/2/13  17/33/00,,1,0,,,0,0,2,0,,,,,,,,,,,,,
24,"[[1,9999999999]]",,42,,,永久招将卡 - Thẻ Chiêu Mộ Vĩnh Viễn,1,3,127,127,2,0,999999999,0,999999999,,6,0,,,0,0,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cụm 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"[[1,9999999999]]",,4,,,首周累积充值 - Quà Tích Nạp (Mã Siêu + Tây Lương Kỵ),1,2,9,1,2,0,168,0,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
2222,"[[1,9999999999]]",,341,,,天工令特惠 - Ưu đãi thiên công lệnh,1,2,111,111,2,0,72,0,72,"[""2022/08/04 05/00/00"",""2099/08/04 04/59/59""]",20,0,,,0,0,1,0,,,,,,,,,,,,,
100,"[[1,3001100080]]",,64,,,求贤令特惠 - Ưu Đãi Cầu Hiền Lệnh,1,2,111,111,2,0,72,0,72,"[""2020/11/12 05/00/00"",""2099/08/04 04/59/59""]",10,0,,,0,0,1,0,,,,,,,,,,,,,
10,"[[1,9999999999]]",,5006,,,6星黄忠 - Hoàng Trung 6 sao,1,1,110,110,2,0,999999999,0,999999999,,15,0,,,0,0,2,0,,,,,,,,,,,,,
71,"[[1,3001100080]]",,34,,,开服庆典特惠 - Ưu đãi mở server,1,2,111,111,2,0,168,0,168,"[""2022/08/04 05/00/00"",""2099/08/04 04/59/59""]",10,0,,,0,0,1,0,,,,,,,,,,,,,
29,"[[1,9999999999]]",,6,,,每日折扣 - Khuyến mãi mỗi ngày,1,2,109,109,2,0,999999999,0,999999999,,15,0,,,0,0,2,0,,,,,,,,,,,,,
381,"[[1,9999999999]]",,143,,,红包来了 - Mưa lì xì,1,1,136,136,3,0,48,0,48,"[""2022/08/04 05/00/00"",""2099/08/04 04/59/59""]",10,0,,,0,0,2,0,,,,,,,,,,,,,
27,"[[1,9999999999]]",,5,,,每日充值 - Nạp mỗi ngày,1,3,104,104,2,0,168,0,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
17,"[[1,9999999999]]",,2,,,月卡 - Thẻ tháng,1,3,8,3,3,0,999999999,0,999999999,,5,0,,,0,0,2,0,,,,,,,,,,,,,
9,"[[1,9999999999]]",,5005,,,真龙试炼 - Chân Long (Lưu Bị 150 mảnh),1,1,102,102,3,0,168,0,168,,6,0,,,0,0,1,0,,,,,,,,,,,,,
18,"[[1,9999999999]]",,30,,,订阅 - Độc Quyền,1,3,117,117,2,0,999999999,0,999999999,,6,0,,,0,0,2,0,,,,,,,,,,,,,
22,"[[1,9999999999]]",,3,,,招募有礼 - Chiêu Mộ Có Quà,1,2,5,5,2,0,999999999,0,999999999,,15,0,,,0,0,1,0,,,,,,,,,,,,,
1,"[[1,9999999999]]",,5000,,,登录福利 - Phúc lợi đăng nhập,1,1,100,100,2,0,999999999,0,999999999,,5,0,,,0,0,2,0,,,,,,,,,,,,,
14,"[[1,9999999999]]",,5011,,,阵容好礼 - Quà Đội Hình,1,1,123,123,2,0,999999999,0,999999999,,5,0,,,0,0,1,0,,,,,,,,,,,,,
450,"[[1,3001100080]]",,185,,,小金刚特卖 - Bán đặc biệt Kea,1,2,99,111,2,0,168,0,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
452,"[[1,9999999999]]",,8002,,,域外来客-福禄时空 - Huyền thoại thổ thần,1,1,138,138,2,0,168,0,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,"[[1,3001100080]]",,3511,,,神将任务 - Nhiệm vụ thần tướng,1,1,103,145,2,24,96,24,96,,10,0,,,0,0,1,0,,,,,,,,,,,,,
2227,"[[1,3001100080]]",,3513,,,神将集结 - Thần tướng hạn thời,1,1,153,153,2,24,96,24,96,"[""2022/08/04 05/00/00"",""2099/08/04 04/59/59""]",10,0,,,0,0,1,0,,,,,,,,,,,,,
2230,"[[1,3001100080]]",,346,,,万能神将令特卖 -  Bán Lệnh Thần Tướng Vạn Năng,1,2,111,111,2,24,96,24,96,,10,0,,,0,0,1,0,,,,,,,,,,,,,
2229,"[[1,3001100080]]",,3512,,,限时神将-关羽 - Quan Vũ (SSR+),1,1,103,103,2,24,96,24,96,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
